,scenario_type,below_average_count_0,mean_score_0,below_average_count_1,mean_score_1,below_average_count_2,mean_score_2,below_average_count_3,mean_score_3,below_average_count_4,mean_score_4,total_below_average_count,total_mean_score
0,accelerating_at_crosswalk,22.0,0.9012951761530757,22.0,0.7214939551223843,22.0,0.8557452226870709,23.0,0.42251871707100574,2.0,0.9333333333333333,91.0,0.766877280873374
44,stopping_at_stop_sign_no_crosswalk,47.0,0.8933410506405317,38.0,0.7781340074481102,47.0,0.8267673895411501,35.0,0.5520772815834093,4.0,0.92,171.0,0.7940639458426403
45,stopping_at_stop_sign_without_lead,42.0,0.8983283410613383,34.0,0.7743802494041528,44.0,0.8309478441946121,32.0,0.5677205882969403,4.0,0.92,156.0,0.7982754045914087
31,starting_protected_cross_turn,33.0,0.9133296223936804,32.0,0.7650020009967463,29.0,0.8828867173443062,33.0,0.55029722971547,4.0,0.92,131.0,0.8063031140900406
36,starting_unprotected_cross_turn,49.0,0.8795822985521373,30.0,0.7886479326081404,45.0,0.8113017674222637,26.0,0.6119981794012576,2.0,0.96,152.0,0.8103060355967597
28,on_stopline_stop_sign,36.0,0.9096070457139211,37.0,0.765458475827922,34.0,0.8560350149185193,37.0,0.5561372718500287,1.0,0.98,145.0,0.8134475616620783
6,changing_lane_with_trail,1.0,0.9347481091873593,1.0,0.7341464443257179,0.0,0.9263196984212716,1.0,0.48388701125524003,0.0,1.0,3.0,0.8158202526379178
34,starting_straight_stop_sign_intersection_traversal,32.0,0.9161389491421685,31.0,0.7789528881252511,26.0,0.8741944628138828,29.0,0.5844398584077052,3.0,0.94,121.0,0.8187452316978014
29,on_stopline_traffic_light,25.0,0.9270183455215698,28.0,0.7906523089727001,24.0,0.8726423169152997,32.0,0.5667122157392732,3.0,0.94,112.0,0.8194050374297686
24,on_carpark,28.0,0.937528084305796,40.0,0.7661137146292292,19.0,0.9214687460855441,35.0,0.5522535788252102,4.0,0.92,126.0,0.819472824769156
33,starting_right_turn,34.0,0.9144539673084209,35.0,0.7800944029258069,30.0,0.8761076505827898,34.0,0.5779475543377636,2.0,0.96,135.0,0.8217207150309562
35,starting_straight_traffic_light_intersection_traversal,14.0,0.9213488812538067,12.0,0.8096764919824326,14.0,0.8633886247855886,14.0,0.6100027882651896,2.0,0.9130434782608695,56.0,0.8234920529095774
54,waiting_for_pedestrian_to_cross,32.0,0.9082130550598891,29.0,0.8035740199547636,31.0,0.8397702651887464,36.0,0.5876432063820343,1.0,0.98,129.0,0.8238401093170868
43,stopping_at_crosswalk,26.0,0.9154012888658123,27.0,0.8158249017046434,27.0,0.8653859073726524,26.0,0.6440641455675642,6.0,0.88,112.0,0.8241352487021345
27,on_stopline_crosswalk,30.0,0.9304386656561415,37.0,0.7695439420991634,28.0,0.896803094597326,37.0,0.5651788643544484,2.0,0.96,134.0,0.824392913341416
3,behind_pedestrian_on_driveable,24.0,0.925511599618533,30.0,0.7666966144165932,24.0,0.9089791896776798,30.0,0.5478322456009669,0.0,1.0,108.0,0.8298039298627545
10,following_lane_without_lead,12.0,0.9512815218349365,33.0,0.7770754894402583,13.0,0.922063742022069,34.0,0.5759635203520781,3.0,0.94,95.0,0.8332768547298685
4,changing_lane_to_left,11.0,0.9303472043497591,12.0,0.7622885839046089,6.0,0.9108286333655712,11.0,0.5786226679937028,0.0,1.0,40.0,0.8364174179227284
25,on_intersection,28.0,0.9291251190295982,31.0,0.7897661128759398,24.0,0.9067090490026586,30.0,0.5982731001099727,2.0,0.96,115.0,0.8367746762036339
11,high_lateral_acceleration,20.0,0.9380512171821949,35.0,0.7828074601521972,20.0,0.9012392382538504,31.0,0.5847520349990443,1.0,0.98,107.0,0.8373699901174572
48,traversing_crosswalk,17.0,0.935671494253737,23.0,0.798582838537088,15.0,0.9113579490476554,24.0,0.6292740751407739,4.0,0.92,83.0,0.8389772713958509
26,on_pickup_dropoff,35.0,0.9050305672249594,24.0,0.8176245055553791,33.0,0.861123447425959,22.0,0.6598776682298854,2.0,0.96,116.0,0.8407312376872366
