,scenario_type,below_average_count_0,mean_score_0,below_average_count_1,mean_score_1,below_average_count_2,mean_score_2,below_average_count_3,mean_score_3,below_average_count_4,mean_score_4,total_below_average_count,total_mean_score
0,accelerating_at_crosswalk,22.0,0.9012951774788882,23.0,0.7214939516730929,22.0,0.8557452247767446,23.0,0.4225187139340495,2.0,0.9333333333333333,92.0,0.7668772802392217
44,stopping_at_stop_sign_no_crosswalk,153.0,0.890950369680047,127.0,0.7719379008874834,152.0,0.8224241398898494,120.0,0.5374166189712057,16.0,0.9,568.0,0.7845458058857171
28,on_stopline_stop_sign,377.0,0.9099882177131682,382.0,0.765325206349723,360.0,0.8575241801071639,358.0,0.5464914114917496,27.0,0.9461077844311377,1504.0,0.8050873600185884
45,stopping_at_stop_sign_without_lead,403.0,0.9039101224333278,327.0,0.7850882874511821,410.0,0.8393734885328239,328.0,0.5789074363334108,24.0,0.9498956158663883,1492.0,0.8114349901234267
27,on_stopline_crosswalk,284.0,0.9296530057553332,357.0,0.762771479972984,267.0,0.891872032421988,357.0,0.5469286164329329,32.0,0.936,1297.0,0.8134450269166477
36,starting_unprotected_cross_turn,475.0,0.8809000143337832,322.0,0.791559880594816,443.0,0.8136346601481499,277.0,0.6151234621374192,16.0,0.968,1533.0,0.8138436034428336
24,on_carpark,263.0,0.9346789209391313,404.0,0.7598373453052873,191.0,0.9172308588107962,376.0,0.5433019862655866,43.0,0.9141716566866267,1277.0,0.8138441536014855
6,changing_lane_with_trail,1.0,0.9347481152615493,1.0,0.7341463553760339,0.0,0.9263197028005493,1.0,0.48388684057511977,0.0,1.0,3.0,0.8158202028026504
31,starting_protected_cross_turn,353.0,0.9141189484061328,330.0,0.7700554626014497,278.0,0.8845501500731985,305.0,0.565320486743896,26.0,0.948,1292.0,0.8164090095649355
29,on_stopline_traffic_light,264.0,0.9236239753915678,309.0,0.7866937284255482,256.0,0.8713690910974253,327.0,0.5791598909348336,34.0,0.932,1190.0,0.818569337169875
35,starting_straight_traffic_light_intersection_traversal,14.0,0.9213488744120071,13.0,0.8096764969794026,14.0,0.8633886204190427,14.0,0.6100027974624871,2.0,0.9130434782608695,57.0,0.8234920535067618
33,starting_right_turn,377.0,0.9108169262901161,341.0,0.7807387088944909,309.0,0.8719747005801803,315.0,0.585618188123059,12.0,0.976,1354.0,0.8250297047775692
54,waiting_for_pedestrian_to_cross,319.0,0.9066344117802316,321.0,0.8034280186619217,319.0,0.8388768469243209,337.0,0.5921792703249237,7.0,0.986,1303.0,0.8254237095382795
25,on_intersection,257.0,0.9197276752617258,304.0,0.7861870653696763,216.0,0.888073854333865,287.0,0.5998278253575077,29.0,0.9421157684630739,1093.0,0.8271864377571697
3,behind_pedestrian_on_driveable,24.0,0.9255115924877485,30.0,0.7666966020893513,24.0,0.9089791893102658,30.0,0.5478322248014773,0.0,1.0,108.0,0.8298039217377685
34,starting_straight_stop_sign_intersection_traversal,226.0,0.9270948231221436,260.0,0.7860964602737596,197.0,0.8955171437965788,233.0,0.5962078221595258,12.0,0.9688311688311688,928.0,0.8347494836366355
43,stopping_at_crosswalk,246.0,0.9224252815280304,239.0,0.8171253434192154,242.0,0.88079893610399,234.0,0.6608390760775233,52.0,0.896,1013.0,0.8354377274257517
4,changing_lane_to_left,11.0,0.9303472068484648,13.0,0.7622886098323794,6.0,0.9108286392014446,12.0,0.5786227155771936,0.0,1.0,42.0,0.8364174342918964
30,on_traffic_light_intersection,266.0,0.917966151030721,258.0,0.8053343544206504,252.0,0.8767559294656277,265.0,0.6312108682756546,23.0,0.954,1064.0,0.8370534606385307
37,starting_unprotected_noncross_turn,275.0,0.9237741200407094,299.0,0.7906289219785995,233.0,0.8994237467199984,280.0,0.6098446086933984,7.0,0.9828431372549019,1094.0,0.8413029069375215
48,traversing_crosswalk,200.0,0.9340394844700087,280.0,0.7963040082749379,162.0,0.9097646908515344,251.0,0.6246327001370011,24.0,0.952,917.0,0.8433481767466964
26,on_pickup_dropoff,340.0,0.9086248765234445,249.0,0.824958113553841,319.0,0.8668056979633084,251.0,0.6694678395550577,19.0,0.962,1178.0,0.8463713055191302
11,high_lateral_acceleration,194.0,0.9455805374405163,331.0,0.791562305621832,182.0,0.9213380256081575,311.0,0.6077725862938363,13.0,0.974,1031.0,0.8480506909928683
32,starting_protected_noncross_turn,27.0,0.9308399121752239,29.0,0.7920571286088863,20.0,0.9144820731626783,29.0,0.6145002315740006,0.0,1.0,105.0,0.8503758691041579
10,following_lane_without_lead,114.0,0.959264486013239,317.0,0.7882218195735491,114.0,0.9351163298060797,314.0,0.6026969807405469,10.0,0.98,869.0,0.853059923226683
5,changing_lane_to_right,8.0,0.9485440924543933,28.0,0.7813840433393937,5.0,0.9374655997627193,24.0,0.6025725113743167,0.0,1.0,65.0,0.8539932493861645
51,traversing_pickup_dropoff,332.0,0.9208510373967199,203.0,0.8299608172695924,323.0,0.8857783462793377,182.0,0.6896902987731395,9.0,0.982,1049.0,0.8616560999437579
50,traversing_narrow_lane,7.0,0.9448150360158712,7.0,0.8173695800330522,5.0,0.9137624754176144,7.0,0.6355930369541088,0.0,1.0,26.0,0.8623080256841293
23,near_trafficcone_on_driveable,128.0,0.9566765305093938,234.0,0.8216837243862859,135.0,0.9322031522135074,242.0,0.6370181703747707,16.0,0.968,755.0,0.8631163154967915
22,near_pedestrian_on_crosswalk,101.0,0.9587385502226285,221.0,0.8252722600028813,103.0,0.931438702452024,241.0,0.6535817234707694,25.0,0.95,691.0,0.8638062472296607
12,high_magnitude_jerk,3.0,0.9697608781651822,8.0,0.794807820082017,3.0,0.9520291226994008,6.0,0.6161216647000605,0.0,1.0,20.0,0.8665438971293321
2,behind_bike,72.0,0.9545779432947713,133.0,0.8164593878363219,72.0,0.9400460708996573,165.0,0.6371858694440823,0.0,1.0,442.0,0.8696538542949664
16,near_barrier_on_driveable,185.0,0.9392732644023736,271.0,0.8258981131534516,209.0,0.8997302666587289,146.0,0.6999417318990825,6.0,0.988,817.0,0.8705686752227273
15,medium_magnitude_speed,119.0,0.9564392316375804,199.0,0.826618354361973,127.0,0.9333575431868251,185.0,0.6695011451915379,15.0,0.97,645.0,0.8711832548755833
1,accelerating_at_traffic_light_with_lead,11.0,0.9735145141266323,103.0,0.8178537881055645,27.0,0.9600136689651448,119.0,0.6300865183880552,3.0,0.9864253393665159,263.0,0.8735787657903824
49,traversing_intersection,87.0,0.9640389068623765,203.0,0.8274473466379422,86.0,0.9456621292393506,209.0,0.6632129358891916,16.0,0.9680638722554891,601.0,0.87368503817687
52,traversing_traffic_light_intersection,71.0,0.9681082082054221,213.0,0.8225814615780872,56.0,0.9563068923251903,226.0,0.6474339769837032,9.0,0.982,575.0,0.8752861078184806
19,near_long_vehicle,68.0,0.9703024445761543,179.0,0.8357069500521176,61.0,0.9579205523714506,193.0,0.6825189292302285,15.0,0.97,516.0,0.8832897752459902
7,crossed_by_vehicle,4.0,0.9755905772748267,4.0,0.816590871154223,0.0,0.9742712301388163,8.0,0.6605775621788916,0.0,1.0,16.0,0.8854060481493515
13,high_magnitude_speed,28.0,0.9804293743123013,169.0,0.8407904410841817,34.0,0.9690445313581089,189.0,0.6731375697502044,17.0,0.966,437.0,0.8858803833009592
53,unknown,94.0,0.962647693319482,181.0,0.8410652822453574,98.0,0.9448163760358572,185.0,0.6935298467681934,5.0,0.99,563.0,0.886411839673778
